Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),Vehicle Age,Condition,Has_AC,Has_PowerSteering,Has_PowerMirror,Has_PowerWindow,Option_Count
19000000,BMW,318i,2018.0,66000.0,Automatic,Petrol,1500.0,8.0,Used,1,0,0,0,1
16900000,BMW,523i M Sport,2010.0,103000.0,Automatic,Petrol,2497.0,16.0,Used,1,1,1,1,4
13900000,BMW,318i SE,2010.0,114000.0,Manual,Petrol,2000.0,16.0,Used,1,1,0,1,3
21000000,BMW,520d F10,2012.0,75000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
17500000,BMW,318I Sport,2018.0,138000.0,Automatic,Petrol,1500.0,8.0,Used,1,1,1,1,4
18750000,BMW,535i,2011.0,180000.0,Automatic,Petrol,3000.0,15.0,Used,1,1,1,1,4
31000000,BMW,X5 XDRIV M SPORT,2016.0,120000.0,Automatic,Petrol,2000.0,10.0,Used,1,1,1,1,4
12500000,BMW,523i E60 LCI,2007.0,129000.0,Automatic,Petrol,2500.0,19.0,Used,1,1,1,1,4
5500000,BMW,E39,1996.0,55000.0,Manual,Petrol,2000.0,30.0,Used,1,1,1,1,4
43500000,BMW,740i M Sport,2014.0,45000.0,Automatic,Hybrid,3000.0,12.0,Unregistered,1,1,1,1,4
43500000,BMW,740i Active Hybrid,2014.0,44000.0,Automatic,Hybrid,2979.0,12.0,Used,1,1,1,1,4
4550000,BMW,520I,1995.0,100000.0,Manual,Petrol,2000.0,31.0,Used,1,1,1,1,4
14500000,BMW,523I,2010.0,40000.0,Automatic,Petrol,2497.0,16.0,Used,1,1,1,1,4
12750000,BMW,523i E60,2006.0,190000.0,Automatic,Petrol,2500.0,20.0,Used,1,1,1,1,4
9500000,BMW,I3 Ranger,2017.0,48550.0,Automatic,Hybrid,647.0,9.0,Used,0,0,0,0,0
20500000,BMW,318I Sport Line,2018.0,79000.0,Automatic,Petrol,1500.0,8.0,Used,1,1,1,1,4
33700000,BMW,730Ld Model,2012.0,89000.0,Automatic,Diesel,3000.0,14.0,Used,0,0,0,0,0
36500000,BMW,530i M Sport,2017.0,63000.0,Automatic,Petrol,2000.0,9.0,Used,1,1,1,1,4
25000000,BMW,7M SPORT ACTIVE HYBRID,2014.0,96000.0,Automatic,Petrol,2999.0,12.0,Used,0,0,0,0,0
25000000,BMW,520D,2014.0,144000.0,Automatic,Diesel,2000.0,12.0,Used,0,0,0,0,0
17000000,BMW,318,2017.0,137000.0,Automatic,Petrol,1500.0,9.0,Used,1,1,1,1,4
18700000,BMW,318i M Sport,2016.0,103000.0,Automatic,Petrol,1500.0,10.0,Used,0,0,0,0,0
11475000,BMW,320d,2011.0,186496.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
16000000,BMW,F10 520i 3 Option,2011.0,1.0,Automatic,Petrol,2000.0,15.0,Used,1,1,1,1,4
28000000,BMW,I8,2016.0,40000.0,Automatic,Hybrid,1500.0,10.0,Used,1,1,1,1,4
27500000,BMW,520d,2015.0,123000.0,Automatic,Diesel,1995.0,11.0,Used,1,1,1,1,4
27500000,BMW,530e,2017.0,42000.0,Automatic,Petrol,2000.0,9.0,Used,1,1,1,1,4
11800000,BMW,320D,2011.0,200000.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
16950000,BMW,520d 3 Option,2013.0,135000.0,Automatic,Diesel,2000.0,13.0,Used,0,0,0,0,0
22000000,BMW,520D,2013.0,161000.0,Automatic,Diesel,1990.0,13.0,Used,1,1,1,1,4
